42D.d000.s001.t014 depth%1:15:00::
42D.d000.s003.t019 form%2:30:05::
42D.d000.s006.t005 range%1:14:00::
42D.d001.s007.t006 corner%1:06:01::
42D.d002.s000.t014 parallel%5:00:00:synchronous:00
42D.d002.s001.t007 tree%1:25:00::
42D.d002.s002.t029 variation%1:09:01:: variation%1:18:00::
42D.d002.s006.t008 character%1:07:00::
42D.d002.s007.t016 variation%1:22:00::
42D.d005.s001.t013 basis%1:24:01::
42D.d006.s005.t016 really%4:02:00::
42D.d007.s000.t008 provide%2:42:00::
42D.d007.s003.t022 university%1:14:01::
42D.d007.s006.t006 grand%5:00:00:extraordinary:00
42D.d008.s003.t009 screw%2:35:02::
42D.d008.s005.t004 performance%1:22:00::
42D.d008.s005.t008 range%1:14:00::
42D.d008.s007.t010 performance%1:22:00::
42D.d008.s008.t028 range%1:14:00::
42D.d009.s002.t013 production%1:23:00::
42D.d009.s003.t037 production%1:23:00::
42D.d009.s003.t042 crop%1:20:01::
42D.d009.s004.t001 true%5:00:00:typical:00 true%5:00:00:real:02
42D.d009.s006.t008 production%1:23:00::
42D.d010.s000.t006 annually%4:02:01::
42D.d010.s002.t006 alpine%5:00:00:upland:00
42D.d011.s000.t036 often%4:02:02::
42D.d011.s001.t017 cork%1:06:01::
42D.d011.s002.t008 experiment%2:41:02::
42D.d012.s002.t007 speed_up%2:30:01::
42D.d013.s002.t014 surmount%2:38:00::
42D.d013.s002.t039 yet%4:02:06::
42D.d013.s003.t018 continue%2:42:06::
42D.d014.s001.t001 north_america%1:14:00::
42D.d014.s002.t002 dominion%1:14:00::
42D.d016.s002.t007 musical%3:00:01::
42D.d016.s004.t011 draw%2:35:04:: draw%2:40:00::
42D.d016.s005.t022 musical%3:00:01::
42D.d016.s005.t023 philosophy%1:09:02::
42D.d018.s003.t026 particularly%4:02:02::
42D.d019.s001.t011 refined%5:00:00:elegant:00
42D.d020.s001.t019 west%1:15:02::
42D.d021.s003.t006 ton%1:23:01::
42D.d021.s006.t012 general%5:00:00:imprecise:00
42D.d022.s000.t006 information%1:14:00::
42D.d022.s000.t024 information%1:14:00::
42D.d022.s003.t028 information%1:14:00::
42D.d022.s003.t035 information%1:14:00::
42D.d022.s003.t036 draw%2:35:04::
42D.d022.s004.t037 video%1:10:02::
42D.d022.s004.t038 information%1:14:00::
42D.d024.s001.t012 comfortable%5:00:00:wide:02
42D.d024.s002.t009 play%1:04:01::
42D.d024.s006.t007 wild%5:00:00:dangerous:00
42D.d025.s003.t011 form%2:30:05::
42D.d025.s003.t035 wall%1:17:01::
42D.d025.s005.t023 form%2:30:05::
42D.d025.s007.t039 activity%1:22:01::
42D.d026.s005.t029 more_or_less%4:02:01::
42D.d027.s008.t007 injury%1:04:01::
42D.d027.s008.t029 expand%2:30:09::
42D.d028.s007.t006 catch%2:36:12::
42D.d029.s003.t004 splash%2:39:00::
42D.d029.s006.t001 dash%2:35:02::
42D.d029.s006.t004 window%1:06:04::
42D.d029.s007.t014 window%1:06:04::
42D.d030.s001.t003 head%1:06:02::
42D.d030.s002.t007 performance%1:22:00::
42D.d030.s002.t010 so%4:02:10::
42D.d030.s006.t011 single%3:00:05::
42D.d030.s007.t008 substantial%5:00:00:sound:01
42D.d030.s008.t005 gate%1:06:02::
42D.d031.s002.t007 only%4:02:05::
42D.d031.s003.t015 designate%2:31:00::
42D.d032.s000.t007 distinct%5:00:00:definite:00 distinct%5:00:00:clear:00
42D.d032.s001.t010 consider%2:31:08::
42D.d032.s001.t014 work%1:06:02::
42D.d033.s000.t012 dust%1:27:02::
42D.d033.s008.t013 sun%1:17:01::
42D.d035.s000.t032 draw%2:35:04::
42D.d035.s002.t027 true%5:00:00:real:02
42D.d035.s002.t028 home%1:26:00::
42D.d036.s002.t012 sit%2:33:00::
42D.d036.s002.t023 product%1:19:00::
42D.d036.s003.t007 dominating%5:00:00:domineering:00
42D.d037.s001.t027 ladder%1:11:00::
42D.d037.s006.t013 bury%2:35:01::
42D.d037.s007.t002 music%1:09:01::
42D.d037.s007.t003 stop%2:42:13::
42D.d038.s002.t011 wave%1:25:00::
42D.d038.s003.t001 wave%1:25:00::
42D.d038.s004.t008 wave%1:25:00::
42D.d038.s006.t029 normal%3:00:03::
42D.d039.s002.t008 define%2:32:01::
42D.d040.s004.t021 false%5:00:00:insincere:00
42D.d041.s005.t008 carry%2:40:10::
42D.d041.s005.t010 date%1:28:03::
semeval2010.d001.s009.t001 water%1:13:00:: water%1:17:00::
semeval2010.d001.s009.t007 water%1:13:00:: water%1:17:00::
semeval2010.d001.s013.t001 remain%2:42:03::
semeval2010.d001.s015.t001 government%1:09:00::
semeval2010.d001.s015.t007 price%1:21:00::
semeval2010.d001.s017.t008 water%1:13:00:: water%1:17:00::
semeval2010.d001.s024.t002 create%2:36:02::
semeval2010.d001.s028.t000 create%2:36:02::
semeval2010.d001.s032.t002 soil%1:17:00::
semeval2010.d001.s036.t001 accommodate%2:42:01:: accommodate%2:42:03::
semeval2010.d001.s046.t000 provide%2:34:00::
semeval2010.d001.s046.t003 water%1:13:00::
semeval2010.d001.s046.t005 water%1:13:00::
semeval2010.d001.s058.t001 time%1:03:00::
semeval2010.d001.s062.t004 decision%1:09:00::
semeval2010.d001.s064.t007 create%2:36:02::
semeval2010.d001.s078.t003 water%1:13:00::
semeval2010.d001.s078.t004 quality%1:07:02::
semeval2010.d001.s078.t009 use%1:07:00::
semeval2010.d001.s090.t007 fur%1:05:00::
semeval2010.d001.s093.t002 process%1:03:00::
semeval2010.d001.s096.t003 start%2:42:00::
semeval2010.d001.s105.t000 example%1:11:00::
semeval2010.d001.s106.t000 example%1:11:00::
semeval2010.d001.s107.t000 protection%1:26:00::
semeval2010.d002.s014.t000 condition%1:26:01::
semeval2010.d002.s036.t006 form%2:30:05::
semeval2010.d002.s057.t004 population%1:23:00::
semeval2010.d002.s070.t002 occur%2:42:03::
semeval2010.d002.s075.t001 range%1:14:00::
semeval2010.d002.s075.t010 range%1:14:00::
semeval2010.d002.s075.t012 range%1:14:00::
semeval2010.d002.s075.t014 partnership%1:10:00::
semeval2010.d003.s005.t008 design%2:31:06::
semeval2010.d003.s010.t001 process%1:03:00::
semeval2010.d003.s025.t005 occur%2:42:03::
semeval2010.d003.s027.t003 conversion%1:04:00::
semeval2010.d003.s029.t001 conversion%1:04:00::
semeval2010.d003.s031.t001 conversion%1:04:00::
semeval2010.d003.s040.t000 loss%1:22:00::
semeval2010.d003.s048.t000 environment%1:15:00::
semeval2010.d003.s085.t000 flow%1:04:00::
semeval2010.d003.s086.t001 water%1:13:00::
semeval2010.d003.s094.t001 flow%1:04:00:: flow%1:28:00::
semeval2013.d000.s003.t006 week%1:28:02::
semeval2013.d000.s005.t000 range%1:14:00::
semeval2013.d000.s006.t003 washington%1:14:00::
semeval2013.d000.s011.t003 week%1:28:02::
semeval2013.d000.s015.t007 week%1:28:02::
semeval2013.d000.s019.t000 game%1:09:00::
semeval2013.d000.s021.t000 member%1:14:00::
semeval2013.d000.s022.t006 action%1:04:04::
semeval2013.d000.s024.t007 week%1:28:02::
semeval2013.d001.s007.t008 lead%1:23:00::
semeval2013.d001.s008.t003 night%1:28:03::
semeval2013.d001.s012.t005 lead%1:23:00::
semeval2013.d002.s002.t001 figure%1:07:01::
semeval2013.d002.s006.t003 market%1:14:01::
semeval2013.d003.s002.t003 russia%1:15:04::
semeval2013.d003.s006.t001 deal%1:10:00::
semeval2013.d003.s010.t002 bombing%1:04:01::
semeval2013.d004.s000.t002 support%1:21:01::
semeval2013.d004.s002.t001 support%1:21:01::
semeval2013.d004.s003.t004 support%1:21:01::
semeval2013.d005.s009.t005 week%1:28:02::
semeval2013.d005.s010.t001 issue%1:09:00::
semeval2013.d006.s007.t001 rule%1:10:02::
semeval2013.d006.s011.t000 advantage%1:07:01::
semeval2013.d006.s012.t000 advantage%1:07:01::
semeval2013.d006.s015.t002 advantage%1:07:01::
semeval2013.d006.s016.t003 game%1:04:03::
semeval2013.d006.s019.t010 game%1:04:03::
semeval2013.d006.s019.t017 cycle%1:11:01::
semeval2013.d006.s020.t001 advantage%1:07:01::
semeval2013.d006.s022.t002 application%1:04:00::
semeval2013.d006.s026.t001 principle%1:09:00::
semeval2013.d007.s003.t001 capability%1:26:00::
semeval2013.d007.s005.t001 life%1:19:00::
semeval2013.d007.s009.t000 find%1:09:00::
semeval2013.d007.s011.t003 find%1:09:00::
semeval2013.d007.s011.t007 discovery%1:10:00::
semeval2013.d007.s013.t000 discovery%1:09:00:: discovery%1:10:00::
semeval2013.d007.s013.t001 environment%1:15:00::
semeval2013.d007.s023.t008 moon%1:17:00::
semeval2013.d008.s006.t000 thing%1:03:00::
semeval2013.d008.s008.t004 institution%1:09:00::
semeval2013.d008.s018.t002 week%1:28:02::
semeval2013.d009.s001.t000 day%1:28:03::
semeval2013.d009.s003.t003 state%1:14:00::
semeval2013.d009.s004.t003 argument%1:10:00::
semeval2013.d009.s015.t008 program%1:10:00::
semeval2013.d009.s017.t002 indifference%1:07:01::
semeval2013.d009.s020.t000 regard%1:09:01::
semeval2013.d009.s023.t005 level%1:09:00::
semeval2013.d009.s024.t002 law%1:10:00::
semeval2013.d010.s003.t005 today%1:28:01::
semeval2013.d010.s012.t000 week%1:28:02::
semeval2013.d011.s007.t000 fear%1:12:01::
semeval2013.d011.s019.t001 flow%1:26:00::
semeval2013.d011.s020.t006 proportion%1:24:01::
semeval2013.d011.s023.t002 point%1:10:03::
semeval2013.d011.s023.t003 growth%1:22:02::
semeval2013.d012.s000.t000 pound%1:23:01::
semeval2013.d012.s002.t002 industry%1:04:00::
semeval2013.d012.s018.t001 wind%1:19:01::
semeval2015.d000.s006.t002 substance%1:03:01::
semeval2015.d000.s011.t001 only%4:02:03::
semeval2015.d000.s013.t000 only%4:02:03::
semeval2015.d000.s018.t002 discontinue%2:30:00::
semeval2015.d000.s018.t007 abnormal%5:00:00:immoderate:00
semeval2015.d000.s020.t004 product%1:06:00::
semeval2015.d000.s022.t001 substance%1:03:01::
semeval2015.d000.s023.t003 form%1:07:03::
semeval2015.d000.s026.t000 effect%1:26:00::
semeval2015.d000.s028.t006 involve%2:42:04::
semeval2015.d000.s031.t002 time%1:28:00::
semeval2015.d000.s034.t006 time%1:28:00::
semeval2015.d000.s035.t007 time%1:28:00::
semeval2015.d000.s036.t010 time%1:28:00::
semeval2015.d000.s037.t008 time%1:28:00::
semeval2015.d001.s008.t002 input%1:06:00::
semeval2015.d001.s018.t003 check%2:32:10::
semeval2015.d001.s020.t001 define%2:32:01::
semeval2015.d001.s022.t001 define%2:32:01::
semeval2015.d001.s025.t001 define%2:32:01::
semeval2015.d001.s032.t001 have%2:42:12::
semeval2015.d001.s035.t000 new%5:00:00:other:00
semeval2015.d001.s039.t002 define%2:32:01::
semeval2015.d001.s044.t005 print%2:36:00::
semeval2015.d001.s044.t006 publish%2:32:00::
semeval2015.d001.s047.t001 new%5:00:00:other:00
semeval2015.d001.s047.t008 new%5:00:00:other:00
semeval2015.d001.s048.t002 input%1:06:00::
semeval2015.d001.s053.t000 set%2:32:00::
semeval2015.d002.s000.t005 deal%2:41:09:: deal%2:41:13::
semeval2015.d002.s002.t009 involvement%1:26:01::
semeval2015.d002.s003.t003 different%3:00:02:: different%5:00:01:other:00
semeval2015.d002.s004.t007 regional%5:00:00:territorial:00
semeval2015.d002.s006.t009 level%1:09:00::
semeval2015.d002.s006.t013 country%1:15:00::
semeval2015.d002.s013.t003 basis%1:24:01::
semeval2015.d002.s020.t002 consider%2:32:00::
semeval2015.d002.s020.t007 small%5:00:00:limited:00
semeval2015.d003.s003.t002 substance%1:03:01::
semeval2015.d003.s004.t003 line%1:25:01::
semeval2015.d003.s009.t014 follow%2:42:03::
semeval2015.d003.s016.t008 see%2:31:03::
semeval2015.d003.s023.t002 particular%5:00:00:uncommon:00 particular%5:00:02:specific:00
senseval2.d000.s003.t009 field%1:17:00::
senseval2.d000.s003.t014 call%2:41:04::
senseval2.d000.s005.t003 pull%2:35:04::
senseval2.d000.s006.t003 note%1:07:00::
senseval2.d000.s008.t000 now%4:02:04::
senseval2.d000.s008.t002 local%3:01:01::
senseval2.d000.s009.t001 today%1:28:01::
senseval2.d000.s011.t004 say%2:32:15::
senseval2.d000.s012.t005 just%4:02:03::
senseval2.d000.s015.t009 no%4:02:01::
senseval2.d000.s021.t000 variation%1:09:01:: variation%1:10:00::
senseval2.d000.s024.t002 night%1:28:03::
senseval2.d000.s024.t007 idea%1:09:02::
senseval2.d000.s025.t001 stand%2:42:03::
senseval2.d000.s025.t002 circle%1:25:01::
senseval2.d000.s025.t007 pull%2:35:04::
senseval2.d000.s026.t000 speak%2:32:02::
senseval2.d000.s026.t004 make%2:36:08::
senseval2.d000.s027.t003 stare%2:29:00::
senseval2.d000.s027.t008 call%2:32:00::
senseval2.d000.s027.t013 time%2:30:06::
senseval2.d000.s028.t008 swing%2:38:03::
senseval2.d000.s028.t009 madly%4:02:00::
senseval2.d000.s028.t016 position%1:07:00::
senseval2.d000.s029.t008 bell%1:11:00::
senseval2.d000.s029.t010 place%1:10:02::
senseval2.d000.s030.t002 involve%2:42:02::
senseval2.d000.s031.t003 solemn%5:00:01:serious:00
senseval2.d000.s033.t002 stay%2:42:04::
senseval2.d000.s035.t007 local%3:01:01::
senseval2.d000.s037.t009 often%4:02:02::
senseval2.d000.s039.t001 treat%2:31:00::
senseval2.d000.s039.t003 sort%1:07:00::
senseval2.d000.s039.t006 say%2:32:15::
senseval2.d000.s043.t002 talk_about%2:32:01::
senseval2.d000.s043.t003 say%2:32:15::
senseval2.d000.s044.t004 fault%1:07:01::
senseval2.d000.s045.t007 here%4:02:01::
senseval2.d000.s045.t011 make%2:36:12::
senseval2.d000.s045.t017 say%2:32:15::
senseval2.d000.s047.t005 say%2:32:15::
senseval2.d000.s048.t005 life%1:26:02::
senseval2.d000.s049.t000 sort%1:07:00::
senseval2.d000.s049.t007 say%2:32:01::
senseval2.d000.s050.t004 college%1:14:01::
senseval2.d000.s051.t000 say%2:32:15::
senseval2.d000.s051.t003 no%4:02:01::
senseval2.d000.s051.t005 high%5:00:00:superior:01
senseval2.d000.s052.t002 attack%2:30:00::
senseval2.d000.s054.t007 small%5:00:00:limited:00
senseval2.d000.s055.t008 say%2:32:01:: say%2:32:13::
senseval2.d000.s063.t001 write%2:32:01::
senseval2.d000.s063.t005 know%2:31:00::
senseval2.d001.s001.t010 develop%2:30:00::
senseval2.d001.s002.t005 array%1:10:00::
senseval2.d001.s004.t006 identify%2:31:01::
senseval2.d001.s005.t002 say%2:32:15::
senseval2.d001.s006.t000 only%4:02:05::
