semeval2007.d000.s000.t002 report%2:32:04::
semeval2007.d000.s001.t002 discover%2:31:01::
semeval2007.d000.s001.t004 find%2:39:02::
semeval2007.d000.s002.t000 make%2:36:12::
semeval2007.d000.s002.t001 statement%1:10:06::
semeval2007.d000.s005.t000 quote%2:32:02::
semeval2007.d000.s006.t002 examine%2:39:00::
semeval2007.d000.s006.t003 have%2:29:02::
semeval2007.d000.s007.t000 suffer%2:29:01:: suffer%2:29:03::
semeval2007.d000.s008.t002 shelter%1:26:00::
semeval2007.d000.s008.t004 necessity%1:17:00::
semeval2007.d000.s009.t007 shelter%1:26:00::
semeval2007.d000.s010.t001 defy%2:42:01::
semeval2007.d000.s010.t002 generalization%1:09:00::
semeval2007.d000.s012.t001 develop%2:30:06::
semeval2007.d000.s012.t004 develop%2:30:06::
semeval2007.d000.s014.t000 study%1:10:00::
semeval2007.d000.s014.t001 say%2:32:01::
semeval2007.d000.s015.t000 study%1:10:00::
semeval2007.d000.s015.t001 show%2:31:00::
semeval2007.d000.s016.t002 result%2:42:02::
semeval2007.d000.s016.t003 connect%2:31:00::
semeval2007.d000.s016.t005 live%2:42:06::
semeval2007.d000.s018.t002 center%1:06:00::
semeval2007.d000.s020.t000 have%2:29:02::
semeval2007.d000.s024.t003 play%2:41:12::
semeval2007.d000.s025.t001 consider%2:39:00::
semeval2007.d000.s026.t001 stop%2:42:13::
semeval2007.d000.s026.t002 assertion%1:10:01::
semeval2007.d000.s026.t003 make%2:36:12::
semeval2007.d000.s028.t000 march%1:14:00::
semeval2007.d000.s028.t001 choose%2:31:01::
semeval2007.d000.s028.t004 insinuate%2:32:00::
semeval2007.d000.s028.t006 support%1:21:01::
semeval2007.d000.s028.t007 know%2:31:12::
semeval2007.d000.s028.t008 thing%1:09:02::
semeval2007.d000.s028.t009 see%2:39:02::
semeval2007.d000.s029.t001 subscribe%2:40:00::
semeval2007.d000.s029.t002 advertise%2:32:00::
semeval2007.d000.s032.t004 deprive%2:40:00::
semeval2007.d000.s033.t001 find%2:31:10::
semeval2007.d001.s000.t001 begin%2:42:03::
semeval2007.d001.s001.t000 give%2:40:07::
semeval2007.d001.s002.t000 offer%2:40:00::
semeval2007.d001.s002.t002 tell%2:32:01::
semeval2007.d001.s002.t003 reader%1:18:03::
semeval2007.d001.s002.t004 accept%2:40:00::
semeval2007.d001.s002.t006 decline%2:40:00::
semeval2007.d001.s003.t002 believe%2:31:04::
semeval2007.d001.s003.t003 answer%2:31:03::
semeval2007.d001.s004.t002 travel%2:38:02::
semeval2007.d001.s004.t006 produce%2:36:00::
semeval2007.d001.s005.t002 become%2:42:01::
semeval2007.d001.s005.t003 partner%1:18:00::
semeval2007.d001.s006.t000 start%2:36:00::
semeval2007.d001.s006.t001 get%2:30:12::
semeval2007.d001.s006.t002 roll%2:35:01::
semeval2007.d001.s006.t003 discover%2:40:00::
semeval2007.d001.s006.t004 programme%1:09:01::
semeval2007.d001.s007.t000 creation%1:06:00::
semeval2007.d001.s007.t001 mandate%2:32:02::
semeval2007.d001.s007.t003 award%2:40:01::
semeval2007.d001.s009.t000 partner%1:18:00::
semeval2007.d001.s009.t001 have%2:32:00::
semeval2007.d001.s009.t002 falsify%2:41:00::
semeval2007.d001.s010.t000 become%2:42:01::
semeval2007.d001.s011.t000 locate%2:40:01::
semeval2007.d001.s011.t002 make%2:30:00::
semeval2007.d001.s012.t002 keep%2:42:07::
semeval2007.d001.s012.t003 use%2:41:14::
semeval2007.d001.s012.t004 angle%1:09:00::
semeval2007.d001.s013.t001 serve%2:42:00::
semeval2007.d001.s013.t002 sentence%1:28:00::
semeval2007.d001.s013.t004 begin%2:30:01::
semeval2007.d001.s013.t005 career%1:04:01::
semeval2007.d001.s015.t002 retain%2:41:01::
semeval2007.d001.s017.t000 become%2:42:01::
semeval2007.d001.s017.t001 partner%1:18:00::
semeval2007.d001.s018.t000 management%1:14:00::
semeval2007.d001.s018.t002 system%1:09:00::
semeval2007.d001.s019.t001 equity%1:21:00::
semeval2007.d001.s020.t000 find%2:39:05::
semeval2007.d001.s022.t000 show%2:32:00::
semeval2007.d001.s022.t001 ingenuity%1:07:00::
semeval2007.d001.s022.t002 find%2:39:02::
semeval2007.d001.s025.t000 wrestle%2:32:00::
semeval2007.d001.s026.t000 change%2:30:04::
semeval2007.d001.s026.t002 become%2:42:01::
semeval2007.d001.s027.t001 get%2:30:00::
semeval2007.d001.s028.t000 absorb%2:31:03::
semeval2007.d001.s028.t003 program%1:09:01::
semeval2007.d001.s028.t004 scandal%1:11:00::
semeval2007.d001.s029.t001 say%2:32:13::
semeval2007.d001.s029.t004 end%2:30:01::
semeval2007.d001.s029.t005 program%1:09:01::
semeval2007.d001.s030.t000 leave%2:31:05::
semeval2007.d001.s030.t001 gold%1:27:00::
semeval2007.d001.s031.t000 one%1:09:00::
semeval2007.d001.s031.t001 have%2:42:00::
semeval2007.d001.s032.t001 program%1:09:01::
semeval2007.d001.s033.t000 program%1:09:01::
semeval2007.d001.s034.t001 clue%1:10:01::
semeval2007.d001.s035.t003 belong%2:42:01::
semeval2007.d001.s036.t003 wealth%1:21:02::
semeval2007.d001.s036.t004 regulate%2:41:01::
semeval2007.d001.s036.t006 maintain%2:34:00::
semeval2007.d001.s036.t007 establishment%1:14:00::
semeval2007.d001.s036.t008 money%1:21:02::
semeval2007.d001.s036.t009 make%2:40:01::
semeval2007.d001.s036.t012 decision%1:09:00::
semeval2007.d001.s037.t000 have%2:39:06::
semeval2007.d001.s037.t002 see%2:39:02::
semeval2007.d001.s037.t003 change%2:30:00::
semeval2007.d001.s038.t001 line%1:10:01::
semeval2007.d001.s038.t002 pocket%1:21:00::
semeval2007.d001.s039.t001 raise%2:32:01::
semeval2007.d002.s000.t000 reach%2:42:00::
semeval2007.d002.s000.t004 ride%2:38:00::
semeval2007.d002.s001.t000 read%2:31:09::
semeval2007.d002.s001.t001 take_up%2:42:00::
semeval2007.d002.s002.t001 represent%2:42:00::
semeval2007.d002.s002.t003 introduce%2:36:01::
semeval2007.d002.s003.t001 state%1:03:00::
semeval2007.d002.s003.t004 find%2:39:02::
semeval2007.d002.s003.t006 have%2:40:05::
semeval2007.d002.s004.t001 light%2:34:00::
semeval2007.d002.s005.t000 win%2:33:01::
semeval2007.d002.s005.t001 response%1:10:00::
semeval2007.d002.s008.t000 seem%2:39:01::
semeval2007.d002.s008.t001 follow%2:36:00::
semeval2007.d002.s008.t002 lead%1:04:01::
semeval2007.d002.s008.t003 take_to%2:41:01::
semeval2007.d002.s009.t001 pass%2:41:08::
semeval2007.d002.s009.t002 test%1:10:00::
semeval2007.d002.s009.t005 run%2:42:07::
semeval2007.d002.s010.t000 hold%2:36:00::
semeval2007.d002.s010.t004 shape%2:30:00:: shape%2:36:00::
semeval2007.d002.s011.t001 deny%2:40:01::
semeval2007.d002.s013.t000 hold%2:42:07::
semeval2007.d002.s013.t001 attraction%1:07:00::
semeval2007.d002.s014.t001 sign_up%2:33:00::
semeval2007.d002.s015.t000 thing%1:10:00::
semeval2007.d002.s015.t001 tell%2:32:00::
semeval2007.d002.s015.t003 zip%1:07:00::
semeval2007.d002.s017.t000 tell%2:32:00::
semeval2007.d002.s018.t000 say%2:32:13::
semeval2007.d002.s020.t000 tell%2:32:00::
semeval2007.d002.s020.t001 go%2:30:04::
semeval2007.d002.s020.t003 get%2:30:00::
semeval2007.d002.s024.t001 speak%2:32:02::
semeval2007.d002.s025.t000 refer%2:31:00::
semeval2007.d002.s025.t001 begin%2:42:04::
semeval2007.d002.s026.t000 flight%1:04:00::
semeval2007.d002.s027.t000 come%2:42:05::
semeval2007.d002.s027.t004 inflate%2:30:02::
semeval2007.d002.s027.t007 fly%2:38:05::
semeval2007.d002.s027.t009 hold%2:42:14::
semeval2007.d002.s028.t000 follow%2:31:00::
semeval2007.d002.s028.t001 progress%1:11:00::
semeval2007.d002.s029.t000 come%2:42:05::
semeval2007.d002.s030.t000 feel%2:31:00::
semeval2007.d002.s030.t001 keep%2:42:07::
semeval2007.d002.s031.t003 squint%2:29:02::
semeval2007.d002.s034.t000 see%2:31:01::
semeval2007.d002.s036.t004 make%2:30:00::
semeval2007.d002.s036.t006 feel%2:42:00::
semeval2007.d002.s036.t007 ride%2:42:04::
semeval2007.d002.s036.t008 current%1:11:00::
semeval2007.d002.s037.t000 make%2:30:00::
semeval2007.d002.s038.t001 average%2:41:00::
semeval2007.d002.s039.t001 cruise%2:38:02::
semeval2007.d002.s041.t000 do%2:36:01::
semeval2007.d002.s041.t001 hiss%2:32:01::
semeval2007.d002.s041.t002 companion%1:18:02::
semeval2007.d002.s042.t000 yell%2:32:00::
semeval2007.d002.s042.t003 plunge%2:38:00::
semeval2007.d002.s043.t000 yell%2:32:00::
semeval2007.d002.s043.t003 loafer%1:06:00::
semeval2007.d002.s045.t001 plunge%2:35:00::
semeval2007.d002.s046.t000 come%2:30:03::
semeval2007.d002.s046.t002 have%2:39:06::
semeval2007.d002.s046.t003 pleasure%1:09:00::
semeval2007.d002.s046.t004 scramble%2:38:01::
semeval2007.d002.s046.t006 scramble%2:38:01::
semeval2007.d002.s049.t000 drive%2:38:00::
semeval2007.d002.s049.t001 get%2:30:00::
semeval2007.d002.s049.t003 enlist%2:40:00::
semeval2007.d002.s049.t004 aid%1:04:00::
semeval2007.d002.s049.t006 get_out%2:35:00::
semeval2007.d002.s049.t007 hitch%1:06:01::
semeval2007.d002.s049.t008 pull_out%2:35:00::
semeval2007.d002.s050.t002 come%2:30:03::
semeval2007.d002.s050.t006 craft%1:06:00::
semeval2007.d002.s050.t013 roll_up%2:35:00::
semeval2007.d002.s050.t014 cram%2:35:10::
semeval2007.d002.s051.t001 have%2:39:06::
semeval2007.d002.s051.t002 follow%2:42:01::
semeval2007.d002.s051.t003 drive%2:38:00::
semeval2007.d002.s052.t000 mean%2:42:00::
semeval2007.d002.s052.t004 maul%2:35:00::
semeval2007.d002.s056.t000 leave%2:31:05::
semeval2007.d002.s056.t001 ride%2:38:00::
semeval2007.d002.s057.t001 resist%2:33:00::
semeval2007.d002.s057.t003 salute%2:32:01::
semeval2013.d000.s000.t002 emission%1:27:00::
semeval2013.d000.s001.t006 release%1:22:00::
semeval2013.d000.s001.t011 term%1:28:00::
semeval2013.d000.s002.t001 basis%1:09:00::
semeval2013.d000.s002.t002 deal%1:10:00::
semeval2013.d000.s003.t000 advance%1:11:01::
semeval2013.d000.s003.t002 time%1:28:05::
semeval2013.d000.s003.t003 world%1:05:00:: world%1:17:00::
semeval2013.d000.s003.t006 week%1:28:02::
semeval2013.d000.s004.t004 one%1:09:00::
semeval2013.d000.s004.t006 term%1:28:00::
semeval2013.d000.s005.t001 option%1:09:00::
semeval2013.d000.s005.t002 question%1:10:01::
semeval2013.d000.s006.t001 flexibility%1:07:01::
semeval2013.d000.s006.t003 washington%1:14:00::
semeval2013.d000.s006.t004 representative%1:18:02::
semeval2013.d000.s007.t005 picture%1:26:00::
semeval2013.d000.s008.t000 outline%1:09:00::
semeval2013.d000.s008.t001 deal%1:10:00::
semeval2013.d000.s008.t002 emission%1:27:00::
semeval2013.d000.s008.t004 level%1:26:00::
semeval2013.d000.s009.t001 emission%1:27:00::
semeval2013.d000.s010.t002 boost%1:04:01::
semeval2013.d000.s010.t007 impact%1:19:00::
semeval2013.d000.s011.t003 week%1:28:02::
semeval2013.d000.s012.t003 language%1:10:03::
semeval2013.d000.s012.t004 cut%1:04:05::
semeval2013.d000.s012.t005 emission%1:27:00::
semeval2013.d000.s012.t006 one%1:09:00::
semeval2013.d000.s013.t000 move%1:04:03::
semeval2013.d000.s013.t003 bush_administration%1:14:01::
semeval2013.d000.s014.t000 united_states%1:14:00::
semeval2013.d000.s014.t001 deal%1:10:00::
semeval2013.d000.s014.t003 action%1:04:04::
semeval2013.d000.s014.t005 cut%1:04:05::
semeval2013.d000.s014.t006 observer%1:18:01::
semeval2013.d000.s015.t001 hour%1:28:01::
semeval2013.d000.s015.t007 week%1:28:02::
semeval2013.d000.s015.t008 united_states%1:14:00::
semeval2013.d000.s016.t001 world%1:17:00::
semeval2013.d000.s017.t000 battle%1:04:02::
semeval2013.d000.s017.t004 united_states%1:14:00::
semeval2013.d000.s017.t007 world%1:17:00::
semeval2013.d000.s017.t010 imperative%1:04:00::
semeval2013.d000.s017.t011 action%1:04:04::
semeval2013.d000.s019.t000 game%1:09:00::
semeval2013.d000.s019.t003 central_america%1:14:00::
semeval2013.d000.s020.t001 impact%1:19:00::
semeval2013.d000.s020.t007 deal%1:10:00::
semeval2013.d000.s021.t000 member%1:14:00::
semeval2013.d000.s021.t001 draft%1:10:00::
semeval2013.d000.s022.t003 push%1:04:01::
semeval2013.d000.s022.t004 pressure%1:07:00::
semeval2013.d000.s022.t006 action%1:04:04::
semeval2013.d000.s023.t005 deal%1:10:00::
semeval2013.d000.s024.t001 minister%1:18:02::
semeval2013.d000.s024.t006 claim%1:04:00::
semeval2013.d000.s024.t007 week%1:28:02::
semeval2013.d000.s025.t006 draft%1:10:00::
semeval2013.d000.s026.t000 intensity%1:07:00::
semeval2013.d000.s026.t001 minister%1:18:02::
semeval2013.d000.s027.t002 policy%1:10:00::
semeval2013.d000.s028.t000 heavyweight%1:18:00::
semeval2013.d001.s001.t003 loss%1:04:00::
semeval2013.d001.s001.t004 performance%1:04:00::
semeval2013.d001.s001.t006 point%1:23:01::
semeval2013.d001.s001.t007 top%1:26:00::
semeval2013.d001.s002.t004 end%1:11:00::
semeval2013.d001.s003.t000 success%1:26:00::
semeval2013.d001.s004.t000 game%1:04:03::
semeval2013.d001.s004.t001 favor%1:07:00::
semeval2013.d001.s005.t000 basket%1:04:00::
semeval2013.d001.s005.t003 net%1:06:04::
semeval2013.d001.s006.t001 end%1:11:00::
semeval2013.d001.s007.t000 quarter%1:28:01::
semeval2013.d001.s007.t002 game%1:04:03::
semeval2013.d001.s007.t004 whistle%1:10:00::
semeval2013.d001.s007.t006 return%1:04:01::
semeval2013.d001.s007.t007 home%1:15:02::
semeval2013.d001.s008.t001 point%1:23:01::
semeval2013.d001.s008.t002 point%1:23:01::
semeval2013.d001.s009.t000 game%1:04:03::
