semeval2007.d000.s002.t001 statement%1:10:06::
semeval2007.d000.s005.t000 quote%2:32:02::
semeval2007.d000.s006.t004 multitude%1:23:00::
semeval2007.d000.s008.t002 shelter%1:26:00::
semeval2007.d000.s009.t002 predispose%2:31:00::
semeval2007.d000.s009.t007 shelter%1:26:00::
semeval2007.d000.s019.t000 fend%2:41:00::
semeval2007.d000.s020.t001 addiction%1:26:00::
semeval2007.d000.s026.t001 stop%2:42:13::
semeval2007.d000.s028.t004 insinuate%2:32:00::
semeval2007.d000.s028.t006 support%1:21:01::
semeval2007.d000.s028.t007 know%2:31:12::
semeval2007.d000.s029.t001 subscribe%2:40:00::
semeval2007.d000.s029.t002 advertise%2:32:00::
semeval2007.d000.s031.t000 homeless%1:18:00::
semeval2007.d000.s031.t001 undergo%2:39:04::
semeval2007.d001.s000.t001 begin%2:42:03::
semeval2007.d001.s006.t001 get%2:30:12::
semeval2007.d001.s006.t004 programme%1:09:01::
semeval2007.d001.s007.t001 mandate%2:32:02::
semeval2007.d001.s009.t002 falsify%2:41:00::
semeval2007.d001.s012.t003 use%2:41:14::
semeval2007.d001.s019.t001 equity%1:21:00::
semeval2007.d001.s022.t001 ingenuity%1:07:00::
semeval2007.d001.s025.t000 wrestle%2:32:00::
semeval2007.d001.s028.t000 absorb%2:31:03::
semeval2007.d001.s029.t001 say%2:32:13::
semeval2007.d001.s030.t005 scoop%2:35:01::
semeval2007.d001.s036.t011 broker%2:40:00::
semeval2007.d001.s039.t001 raise%2:32:01::
semeval2007.d002.s004.t000 diner%1:18:00::
semeval2007.d002.s005.t000 win%2:33:01::
semeval2007.d002.s005.t001 response%1:10:00::
semeval2007.d002.s006.t000 balloon%2:38:00::
semeval2007.d002.s009.t003 swell%2:30:02::
semeval2007.d002.s015.t003 zip%1:07:00::
semeval2007.d002.s017.t002 balloon%2:38:00::
semeval2007.d002.s018.t000 say%2:32:13::
semeval2007.d002.s025.t001 begin%2:42:04::
semeval2007.d002.s027.t004 inflate%2:30:02::
semeval2007.d002.s031.t003 squint%2:29:02::
semeval2007.d002.s036.t007 ride%2:42:04::
semeval2007.d002.s041.t001 hiss%2:32:01::
semeval2007.d002.s042.t003 plunge%2:38:00::
semeval2007.d002.s043.t003 loafer%1:06:00::
semeval2007.d002.s045.t001 plunge%2:35:00::
semeval2007.d002.s049.t002 get_stuck%2:38:00::
semeval2007.d002.s049.t007 hitch%1:06:01::
semeval2007.d002.s050.t000 rendezvous%2:41:00::
semeval2007.d002.s050.t013 roll_up%2:35:00::
semeval2007.d002.s050.t014 cram%2:35:10::
semeval2007.d002.s052.t004 maul%2:35:00::
semeval2007.d002.s057.t003 salute%2:32:01::
semeval2013.d000.s000.t002 emission%1:27:00::
semeval2013.d000.s001.t002 posturing%1:07:00::
semeval2013.d000.s002.t003 greenhouse_gas%1:27:00::
semeval2013.d000.s004.t000 working_group%1:14:00::
semeval2013.d000.s004.t005 global_warming%1:22:00::
semeval2013.d000.s005.t001 option%1:09:00::
semeval2013.d000.s008.t002 emission%1:27:00::
semeval2013.d000.s008.t005 developing_country%1:14:00::
semeval2013.d000.s009.t001 emission%1:27:00::
semeval2013.d000.s010.t000 european_union%1:14:00::
semeval2013.d000.s010.t002 boost%1:04:01::
semeval2013.d000.s010.t008 climate_change%1:22:00::
semeval2013.d000.s010.t011 deforestation%1:04:00:: deforestation%1:26:00::
semeval2013.d000.s012.t002 envoy%1:18:00::
semeval2013.d000.s012.t003 language%1:10:03::
semeval2013.d000.s012.t004 cut%1:04:05::
semeval2013.d000.s012.t005 emission%1:27:00::
semeval2013.d000.s013.t001 hard_line%1:09:00::
semeval2013.d000.s013.t003 bush_administration%1:14:01::
semeval2013.d000.s014.t002 developing_country%1:14:00::
semeval2013.d000.s014.t003 action%1:04:04::
semeval2013.d000.s014.t005 cut%1:04:05::
semeval2013.d000.s015.t002 foreign_minister%1:18:00::
semeval2013.d000.s015.t005 negotiator%1:18:00::
semeval2013.d000.s015.t010 global_warming%1:22:00::
semeval2013.d000.s016.t000 trajectory%1:19:00::
semeval2013.d000.s016.t002 major_power%1:14:00::
semeval2013.d000.s016.t003 fault_line%1:15:00::
semeval2013.d000.s017.t000 battle%1:04:02::
semeval2013.d000.s017.t008 two_dozen%1:23:00::
semeval2013.d000.s017.t010 imperative%1:04:00::
semeval2013.d000.s017.t011 action%1:04:04::
